PC=000001f0, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=000001f4, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=000001f8, [00a60733], x14=0000000b, x12=0000000a, x10=00000001 add      a4, a2, a0
PC=000001fc, [00070813], x16=0000000b, x14=0000000b, x00=00000000 addi     a6, a4, 0
PC=00000200, [00c83833], x16=00000000, x16=0000000b, x12=0000000a sltu     a6, a6, a2
PC=00000204, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000208, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000020c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000210, [fee42423], x08=00500000, x08=00500000, x14=0000000b sw       a4, -24(s0)
PC=00000214, [fef42623], x12=0000000a, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000218, [fe445783], x15=00000000, x08=00500000, x04=00000000 lhu      a5, s0, -28
PC=0000021c, [00178793], x15=00000001, x15=00000000, x01=00000108 addi     a5, a5, 1
PC=00000220, [fef41223], x04=00000000, x08=00500000, x15=00000001 sh       a5, -28(s0)
PC=00000224, [fe445703], x14=00000001, x08=00500000, x04=00000000 lhu      a4, s0, -28
PC=00000228, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000022c, [fae7fee3], x29=00000000, x15=00000004, x14=00000001 bgeu     a5, a4, -68
PC=000001e8, [fe842603], x12=0000000b, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=000001ec, [fec42683], x13=00000000, x08=00500000, x12=0000000b lw       a3, s0, -20
PC=000001f0, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=000001f4, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=000001f8, [00a60733], x14=0000000c, x12=0000000b, x10=00000001 add      a4, a2, a0
PC=000001fc, [00070813], x16=0000000c, x14=0000000c, x00=00000000 addi     a6, a4, 0
PC=00000200, [00c83833], x16=00000000, x16=0000000c, x12=0000000b sltu     a6, a6, a2
PC=00000204, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000208, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000020c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000210, [fee42423], x08=00500000, x08=00500000, x14=0000000c sw       a4, -24(s0)
PC=00000214, [fef42623], x12=0000000b, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000218, [fe445783], x15=00000001, x08=00500000, x04=00000000 lhu      a5, s0, -28
PC=0000021c, [00178793], x15=00000002, x15=00000001, x01=00000108 addi     a5, a5, 1
PC=00000220, [fef41223], x04=00000000, x08=00500000, x15=00000002 sh       a5, -28(s0)
PC=00000224, [fe445703], x14=00000002, x08=00500000, x04=00000000 lhu      a4, s0, -28
PC=00000228, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000022c, [fae7fee3], x29=00000000, x15=00000004, x14=00000002 bgeu     a5, a4, -68
PC=000001e8, [fe842603], x12=0000000c, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=000001ec, [fec42683], x13=00000000, x08=00500000, x12=0000000c lw       a3, s0, -20
PC=000001f0, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=000001f4, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=000001f8, [00a60733], x14=0000000d, x12=0000000c, x10=00000001 add      a4, a2, a0
PC=000001fc, [00070813], x16=0000000d, x14=0000000d, x00=00000000 addi     a6, a4, 0
PC=00000200, [00c83833], x16=00000000, x16=0000000d, x12=0000000c sltu     a6, a6, a2
PC=00000204, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000208, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000020c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000210, [fee42423], x08=00500000, x08=00500000, x14=0000000d sw       a4, -24(s0)
PC=00000214, [fef42623], x12=0000000c, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000218, [fe445783], x15=00000002, x08=00500000, x04=00000000 lhu      a5, s0, -28
PC=0000021c, [00178793], x15=00000003, x15=00000002, x01=00000108 addi     a5, a5, 1
PC=00000220, [fef41223], x04=00000000, x08=00500000, x15=00000003 sh       a5, -28(s0)
PC=00000224, [fe445703], x14=00000003, x08=00500000, x04=00000000 lhu      a4, s0, -28
PC=00000228, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000022c, [fae7fee3], x29=00000000, x15=00000004, x14=00000003 bgeu     a5, a4, -68
PC=000001e8, [fe842603], x12=0000000d, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=000001ec, [fec42683], x13=00000000, x08=00500000, x12=0000000d lw       a3, s0, -20
PC=000001f0, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=000001f4, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=000001f8, [00a60733], x14=0000000e, x12=0000000d, x10=00000001 add      a4, a2, a0
PC=000001fc, [00070813], x16=0000000e, x14=0000000e, x00=00000000 addi     a6, a4, 0
PC=00000200, [00c83833], x16=00000000, x16=0000000e, x12=0000000d sltu     a6, a6, a2
PC=00000204, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000208, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000020c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
PC=00000210, [fee42423], x08=00500000, x08=00500000, x14=0000000e sw       a4, -24(s0)
PC=00000214, [fef42623], x12=0000000d, x08=00500000, x15=00000000 sw       a5, -20(s0)
PC=00000218, [fe445783], x15=00000003, x08=00500000, x04=00000000 lhu      a5, s0, -28
PC=0000021c, [00178793], x15=00000004, x15=00000003, x01=00000108 addi     a5, a5, 1
PC=00000220, [fef41223], x04=00000000, x08=00500000, x15=00000004 sh       a5, -28(s0)
PC=00000224, [fe445703], x14=00000004, x08=00500000, x04=00000000 lhu      a4, s0, -28
PC=00000228, [00400793], x15=00000004, x00=00000000, x04=00000000 addi     a5, zero, 4
PC=0000022c, [fae7fee3], x29=00000000, x15=00000004, x14=00000004 bgeu     a5, a4, -68
PC=000001e8, [fe842603], x12=0000000e, x08=00500000, x08=00500000 lw       a2, s0, -24
PC=000001ec, [fec42683], x13=00000000, x08=00500000, x12=0000000e lw       a3, s0, -20
PC=000001f0, [00100513], x10=00000001, x00=00000000, x01=00000108 addi     a0, zero, 1
PC=000001f4, [00000593], x11=00000000, x00=00000000, x00=00000000 addi     a1, zero, 0
PC=000001f8, [00a60733], x14=0000000f, x12=0000000e, x10=00000001 add      a4, a2, a0
PC=000001fc, [00070813], x16=0000000f, x14=0000000f, x00=00000000 addi     a6, a4, 0
PC=00000200, [00c83833], x16=00000000, x16=0000000f, x12=0000000e sltu     a6, a6, a2
PC=00000204, [00b687b3], x15=00000000, x13=00000000, x11=00000000 add      a5, a3, a1
PC=00000208, [00f806b3], x13=00000000, x16=00000000, x15=00000000 add      a3, a6, a5
PC=0000020c, [00068793], x15=00000000, x13=00000000, x00=00000000 addi     a5, a3, 0
